,order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_status,payment_method,region,discount_applied
0,O966977,C00397,P0022,3,39.25,2025-06-07,Delivered,PayPal,Central,0
1,O696648,C00236,P0023,5,18.92,2025-06-07,Delayed,Credit Card,North,0
2,O202644,C00492,P0011,1,29.68,2025-06-07,Delivered,Bank Transfer,North,0.15
3,O501803,C00031,P0003,1,32.76,2025-06-07,Cancelled,Credit Card,Central,0.2
4,O322242,C00495,P0016,1,47.62,2025-06-07,Delayed,Credit Card,West,0.2
5,O190175,C00388,P0005,3,37.89,2025-06-07,Delayed,Bank Transfer,North,0.1
6,O272646,C00328,P0027,5,30.83,2025-06-07,Delivered,PayPal,Central,0.05
7,O411881,C00201,P0019,3,12.56,2025-06-07,Delivered,Credit Card,East,0
8,O170570,C00076,P0030,3,28.32,2025-06-07,Delivered,PayPal,Central,0.15
9,O619944,C00330,P0002,1,30.96,2025-06-07,Delayed,Credit Card,South,0.15
10,O490023,C00285,P0022,2,9.98,2025-06-07,Delivered,Credit Card,Central,0
11,O865247,C00249,P0022,5,30.92,2025-06-07,Delayed,Credit Card,East,0.1
12,O315552,C00110,P0007,4,28.74,2025-06-07,Delivered,Bank Transfer,North,0.1
13,O135982,C00441,P0003,2,38.11,2025-06-07,Delivered,PayPal,North,0
14,O870079,C00274,P0013,1,49.71,2025-06-07,Delayed,Credit Card,East,0
15,O305482,C00404,P0003,4,9.79,2025-06-07,Cancelled,Bank Transfer,North,0.15
16,O359666,C00397,P0007,4,12.07,2025-06-07,Delayed,Bank Transfer,West,0
17,O324940,C00262,P0002,1,20.42,2025-06-07,Delayed,Credit Card,North,0.05
18,O364358,C00319,P0027,4,17.4,2025-06-07,Delayed,PayPal,East,0
19,O358447,C00059,P0004,3,39.89,2025-06-07,Delayed,Bank Transfer,West,0
20,O216425,C00211,P0019,1,32.05,2025-06-07,Delayed,Bank Transfer,South,0.15
21,O121091,C00276,P0022,4,12.88,2025-06-07,Cancelled,Credit Card,Central,0.2
22,O930213,C00369,P0010,4,10.43,2025-06-07,Cancelled,PayPal,South,0
23,O342894,C00171,P0030,1,31.96,2025-06-07,Delivered,Bank Transfer,South,0
24,O471486,C00423,P0007,2,39.93,2025-06-07,Cancelled,PayPal,Central,0
25,O728183,C00040,P0021,5,39.59,2025-06-07,Delivered,Credit Card,Central,0.15
26,O860527,C00334,P0025,5,46.67,2025-06-07,Delayed,PayPal,South,0
27,O658934,C00463,P0025,4,19.29,2025-06-07,Delayed,Credit Card,West,0.1
28,O702676,C00374,P0019,1,36.28,2025-06-07,Delivered,Bank Transfer,West,0
30,O291982,C00329,P0019,5,41.7,2025-06-07,Delivered,PayPal,East,0.05
31,O577920,C00480,P0015,4,28.58,2025-06-07,Delayed,PayPal,East,0
32,O960238,C00259,P0009,2,9.58,2025-06-07,Delayed,Credit Card,East,0.2
33,O966135,C00464,P0028,1,26.29,2025-06-07,Cancelled,PayPal,West,0
34,O453905,C00398,P0017,2,32.1,2025-06-07,Delivered,PayPal,South,0.1
35,O357468,C00070,P0025,2,12.47,2025-06-07,Delivered,Credit Card,East,0.15
36,O671288,C00197,P0014,4,15.06,2025-06-07,Delayed,Credit Card,North,0
37,O566495,C00500,P0013,1,41.14,2025-06-07,Delivered,PayPal,Central,0
38,O508604,C00331,P0022,1,14.6,2025-06-07,Cancelled,Bank Transfer,Central,0.2
39,O455877,C00414,P0029,3,37.44,2025-06-07,Cancelled,Bank Transfer,East,0
40,O175998,C00170,P0016,1,47.46,2025-06-07,Delayed,Bank Transfer,North,0.05
41,O393004,C00284,P0011,4,49.08,2025-06-07,Delivered,PayPal,East,0.15
42,O198320,C00392,P0001,3,18.38,2025-06-07,Delivered,Credit Card,West,0.15
43,O223293,C00070,P0007,5,9.06,2025-06-07,Delivered,Bank Transfer,West,0.2
44,O698994,C00301,P0024,3,45.59,2025-06-07,Delayed,PayPal,East,0.05
45,O532137,C00043,P0029,1,28.46,2025-06-07,Delayed,Credit Card,West,0.2
46,O577109,C00416,P0005,4,49.91,2025-06-07,Delivered,Credit Card,East,0.05
47,O641343,C00274,P0017,5,29.41,2025-06-07,Delivered,Credit Card,South,0.05
48,O333120,C00006,P0027,1,45.44,2025-06-07,Delayed,Credit Card,Central,0.1
49,O813745,C00399,P0010,5,22.25,2025-06-07,Delivered,Bank Transfer,Central,0
50,O544747,C00381,P0029,5,24.19,2025-06-07,Delivered,Credit Card,East,0.05
51,O468789,C00366,P0015,5,33.07,2025-06-07,Delayed,PayPal,North,0.2
52,O627148,C00180,P0022,4,17.33,2025-06-07,Delayed,Bank Transfer,South,0
53,O935520,C00434,P0004,3,30.3,2025-06-07,Delayed,PayPal,South,0
54,O544861,C00495,P0011,2,40.78,2025-06-07,Delayed,Credit Card,North,0.1
55,O459284,C00365,P0021,2,35.38,2025-06-07,Delayed,PayPal,North,0.1
56,O180874,C00066,P0029,4,43.89,2025-06-07,Cancelled,Bank Transfer,Central,0.2
57,O241823,C00224,P0016,5,21.08,2025-06-07,Delayed,PayPal,East,0.05
